UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
2.2313271,0.5400401,0.5647543,0.4257563,0.1686118,0.0829075,0.5400401,0.1682371,0.417467798
2.2313271,0.5400401,0.084064,0.2579234,0.1686118,0.0829075,0.1686118,0.2079593,0.437081386
2.2313271,0.5400401,0.1682371,0.2245181,0.1686118,0.0829075,0.6118024,0.1309553,0.361885214
2.2313271,0.5400401,0.4443454,0.0829075,0.1686118,0.0829075,0.1310569,0.084064,0.381394728
2.2313271,0.5400401,0.4257563,0.1061396,0.1686118,0.0829075,0.0836821,0.1061396,0.418106618
2.2313271,0.5400401,0.3825115,0.1061396,0.1686118,0.0829075,0.1509983,0.1418237,0.383326518
4.553692,7.843861,0.205088,0.133213,0.230296,0.351508,0.113095,0.122394,0.19106148
4.553692,7.843861,0.092904,0.169237,0.230296,0.351508,0.082397,0.110681,0.19841242
0.372391,3.66256,0.178251,0.116863,0.224834,0.224834,0.12171,0.132366,0.17169452
0.372391,3.66256,4.386389,0.299849,0.224834,0.224834,0.204237,0.092904,0.20693398
0.372391,0.372391,0.221001,0.092904,0.073043,0.073043,0.115028,0.092904,0.11605144
